# combination; distance; defense; faint; body
# 57 combinations begin
# https://www.youtube.com/watch?v=93r6lz1pbcw&list=PLwhbxihJxPp5cPKuSObiP_WBR9IOfd9B-&index=30
1-1-2-step_back-2; Long;  Yes;  No;  No
1-2-1-4; Long;  No;  No;  No
setup 2x1b f1b-3-2; Long;  No;  Yes;  Yes
fast_light_close_setup 1-2-1-2-1-2+3b-4; Short;  No;  No;  Yes
1-2+1-1-2 for_cutting_distance; Long;  No;  No;  No
1-1-2b-3; Long;  No;  No;  Yes
1-2-1-2 for_power; Long;  No;  No;  No
3b-4b-3-4-3b-4b-3-4; Short;  No;  No;  Yes
fast_light_close_setup 1-2-1-2-3-2+3b-4b; Short;  No;  No;  Yes
1-2-3b-3b-3b-3-2; Long;  No;  No;  Yes
1-1-2b with_second_step_to_the_left; Long;  No;  No;  Yes
6-3b without lean out; Short;  No;  No;  Yes
fast_light_close_setup 1-2-1-2+3b without_slip; Short;  No;  No;  Yes
fast_light_close_setup 1-2-3-2-3-2+3b without_slip; Short;  No;  No;  Yes
1-slip-3b-3-2-slip-3b-3b; Long;  Yes;  No;  Yes
1-4-5-2; Long;  No;  No;  No
with_steps 3-6-3; Long;  No;  No;  No
inside 6-3-step_back-2-3;  Short;  Yes;  No;  No
inside 5-6-3-4;  Short;  No;  No;  No
1-step_slip_left-5-2; Long;  Yes;  No;  No
1-side_step_right-6-3; Long;  No;  No;  No
6-3-3b; Short;  No;  No;  Yes
1-2-1 power_in_last_punch; Long;  No;  No;  No
1-2-1-4b-3; Long;  No;  No;  Yes
1-2-lean_back-2b-3; Long;  Yes;  No;  Yes
f1-2b-3b-3; Long;  No;  Yes;  Yes
1-2-3-4-3b-4b-3-4; Long;  No;  No;  Yes
1-1-left_slip-3b-3; Long;  Yes;  No;  Yes
fast_light_setup 1-2-1-6+3b without_slip; Short;  No;  No;  Yes
1-2-right_side_step-2-3; Long;  Yes;  No;  No
1-2b-3-3; Long;  No;  No;  Yes
long 3-2 with_stepping;  Long;  No;  No;  No
3-3b with_slip; Short;  No;  No;  Yes
3-3b without_slip; Short;  No;  No;  Yes
3-4b-3b-4-right_side_step-2-3-2-3b-4b-3-4; Short;  Yes;  No;  Yes
close 6-3b; Short;  No;  No;  Yes
from_range_with_step 1-short_2-light_3-3b; Long;  No;  No;  Yes
1-left_slip_step-3b-3b-3; Long;  Yes;  No;  Yes
1-lean_back-1-2-1; Long;  Yes;  No;  No
# 57 combinations end
setup 3b-4b-3b-4b+3; Short;  No;  No;  Yes
1-2b-3-2-3b; Long;  No;  No;  Yes
